player_name,team,league,line_score,stat_type,start_time,updated_at,scrape_time
Josh Minott,Celtics,NBA,8.0,Points,2025-10-29T19:10:00-04:00,2025-10-29T11:56:05-04:00,2025-10-29 16:58:22
Austin Reaves,Lakers,NBA,29.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T10:08:34-04:00,2025-10-29 16:58:22
Deandre Ayton,Lakers,NBA,14.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T09:15:14-04:00,2025-10-29 16:58:22
Donte DiVincenzo,Timberwolves,NBA,14.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T08:02:38-04:00,2025-10-29 16:58:22
Jaden McDaniels,Timberwolves,NBA,16.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T06:36:07-04:00,2025-10-29 16:58:22
Jake LaRavia,Lakers,NBA,9.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T09:37:27-04:00,2025-10-29 16:58:22
Jarred Vanderbilt,Lakers,NBA,7.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T11:00:57-04:00,2025-10-29 16:58:22
Julius Randle,Timberwolves,NBA,24.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T08:04:33-04:00,2025-10-29 16:58:22
Mike Conley,Timberwolves,NBA,8.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T00:20:51-04:00,2025-10-29 16:58:22
Naz Reid,Timberwolves,NBA,14.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T09:58:49-04:00,2025-10-29 16:58:22
Rudy Gobert,Timberwolves,NBA,11.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T12:09:13-04:00,2025-10-29 16:58:22
Rui Hachimura,Lakers,NBA,14.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T00:22:45-04:00,2025-10-29 16:58:22
Lonzo Ball,Cavaliers,NBA,7.5,Points,2025-10-29T19:10:00-04:00,2025-10-28T23:58:00-04:00,2025-10-29 16:58:22
Desmond Bane,Magic,NBA,18.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:06:07-04:00,2025-10-29 16:58:22
Franz Wagner,Magic,NBA,21.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T00:55:30-04:00,2025-10-29 16:58:22
Paolo Banchero,Magic,NBA,25.0,Points,2025-10-29T19:10:00-04:00,2025-10-29T10:22:43-04:00,2025-10-29 16:58:22
Ayo Dosunmu,Bulls,NBA,12.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T07:05:49-04:00,2025-10-29 16:58:22
DeMar DeRozan,Kings,NBA,19.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T07:50:53-04:00,2025-10-29 16:58:22
Domantas Sabonis,Kings,NBA,17.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T10:29:13-04:00,2025-10-29 16:58:22
Isaac Okoro,Bulls,NBA,7.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T12:05:43-04:00,2025-10-29 16:58:22
Josh Giddey,Bulls,NBA,18.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T09:57:46-04:00,2025-10-29 16:58:22
Kevin Huerter,Bulls,NBA,11.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T00:59:16-04:00,2025-10-29 16:58:22
Malik Monk,Kings,NBA,12.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T08:45:50-04:00,2025-10-29 16:58:22
Matas Buzelis,Bulls,NBA,16.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T09:27:18-04:00,2025-10-29 16:58:22
Nikola Vucevic,Bulls,NBA,19.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T08:54:35-04:00,2025-10-29 16:58:22
Zach LaVine,Kings,NBA,22.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T09:36:55-04:00,2025-10-29 16:58:22
Patrick Williams,Bulls,NBA,7.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T01:04:17-04:00,2025-10-29 16:58:22
Russell Westbrook,Kings,NBA,11.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T10:41:16-04:00,2025-10-29 16:58:22
Tre Jones,Bulls,NBA,12.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T00:59:16-04:00,2025-10-29 16:58:22
Ausar Thompson,Pistons,NBA,13.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T10:34:43-04:00,2025-10-29 16:58:22
